"Analysis of changes in post-seismic landslide distribution and its effect on building reconstruction","10.5194/NHESS-15-817-2015"
"An operational flood warning system for poorly gauged basins: demonstration in the guadalhorce basin (spain)","10.1007/S11069-013-0949-7"
"Flood hazard assessment for extreme flood events","10.1007/S11069-016-2501-Z"
"Assessing changes in urban flood vulnerability through mapping land use from historical information","10.5194/HESS-20-161-2016"
"Changing structure of precipitation evolution during 1957-2013 in yangtze river delta, china","10.1007/S00477-015-1034-4"
"Appropriate model use for predicting elevations and inundation extent for extreme flood events","10.1007/S11069-015-1926-0"
"Prototype of a web-based participative decision support platform in natural hazards and risk management","10.3390/IJGI4031201"
"Multidisciplinary study of flash floods in the caldera de taburiente national park (canary islands, spain)","10.1016/J.CATENA.2015.03.007"
"Flood risk management in remote and impoverished areas-a case study of onaville, haiti","10.3390/W7073832"
"Continental portuguese territory flood susceptibility index - contribution to a vulnerability index","10.5194/NHESS-15-1907-2015"
"Flood disasters - a global perspective","10.2166/WP.2015.001"
"Assessing physical vulnerability in large cities exposed to flash floods and debris flows: the case of arequipa (peru)","10.1007/S11069-014-1172-X"
"2010-2011 queensland floods: using haddon's matrix to define and categorise public safety strategies","10.1111/1742-6723.12097"
"Spatial variability assessment of river-line floods and flash floods in himalaya a case study using gis","10.1108/09653561211219955"
"A way of determining how small river basins of somes river are susceptible to flash-floods",NA
"Specificities and risk due to `flash floods' in the north of france (parisian basin)",NA
"An integrated one-dimensional and two-dimensional urban stormwater flood simulation model","10.1111/J.1752-1688.2006.TB04487.X"
"Forecasting by numerical modeling of the risk zone bordering a river leg exposed to flash flood","10.1139/L03-018"
"Coupled prediction of flash flood response and debris flow occurrence: application on an alpine extreme flood event","10.1016/J.JHYDROL.2018.01.021"
"Modelling the complexity of the network of interactions in flood emergency management: the lorca flash flood case","10.1016/J.ENVSOFT.2017.06.026"
"Flash flood vulnerability assessment for small catchments with a material flow approach","10.1007/S11069-017-2887-2"
"Meteorological and hydrological analysis of major floods in ne iberian peninsula","10.1016/J.JHYDROL.2016.02.008"
"Modeling flash floods in southern france for road management purposes","10.1016/J.JHYDROL.2016.05.054"
"Exploring underlying causes and assessing damages of 2010 flash flood in the upper zone of panjkora river","10.1007/S11069-016-2386-X"
"Topography wetness index application in flood-risk-based land use planning","10.1007/S12061-014-9130-2"
"Use of gis-environment under the analysis of the managerial solutions for flood events protection measures","10.1016/J.PROENG.2016.11.916"
"Methodology of flood risk assessment from flash floods based on hazard and vulnerability of the river basin","10.1007/S11069-015-1945-X"
"A database on flash flood events in campania, southern italy, with an evaluation of their spatial and temporal distribution","10.5194/NHESS-16-2485-2016"
"Paleoflood discharge reconstruction in tatra mountain streams","10.1016/J.GEOMORPH.2015.12.004"
"Ecological aspect of dam design for flood regulation and sustainable urban development","10.1051/MATECCONF/20167303003"
"Potential of a probabilistic hydrometeorological forecasting approach for the 28 september 2012 extreme flash flood in murcia, spain","10.1016/J.ATMOSRES.2015.06.012"
"Historical, hydraulic, hydrological and meteorological reconstruction of 1874 santa tecla flash floods in catalonia (ne iberian peninsula)","10.1016/J.JHYDROL.2015.02.023"
"The occurrence of floods and the role of climate variations from 1880 in calabria (southern italy)","10.5194/NHESS-12-129-2012"
"Hydrogeomorphic processes and torrent control works on a large alluvial fan in the eastern italian alps","10.5194/NHESS-10-547-2010"
"Evaluation of golestan province's early warning system for flash floods, iran, 2006-7","10.1007/S00484-009-0210-Y"
"Comparing flood mortality in portugal and greece (western and eastern mediterranean)","10.1016/J.IJDRR.2017.03.007"
"Regional climate projections of mean and extreme climate for the southwest of western australia (1970-1999 compared to 2030-2059)","10.1007/S00382-016-3169-5"
"Vulnerability of flash flooding in riyadh, saudi arabia","10.1007/S11069-016-2521-8"
"Integrating expert opinion with modelling for quantitative multi-hazard risk assessment in the eastern italian alps","10.1016/J.GEOMORPH.2016.07.041"
"A gis-based integration of catastrophe theory and analytical hierarchy process for mapping flood susceptibility: a case study of teeb area, southern iraq","10.1007/S12665-016-5523-7"
"Historical torrential flood events in the kolubara river basin","10.1007/S11069-015-1860-1"
"Increased frequency of flash floods in dire dawa, ethiopia: change in rainfall intensity or human impact?","10.1007/S11069-014-1554-0"
"Modeling the effect of uncertainties in rainfall characteristics on flash flood warning based on rainfall thresholds","10.1007/S11069-014-1390-2"
"Hydrologic impact of regional climate change for the snow-fed and glacier-fed river basins in the republic of tajikistan: statistical downscaling of global climate model projections","10.1002/HYP.9536"
"Uncertainty analysis of river flooding and dam failure risks using local sensitivity computations","10.1016/J.RESS.2012.04.007"
"Review of recent advances in uk operational hydrometeorology","10.1680/WAMA.2012.165.2.55"
"Long-term performance of a flood alert system and upgrade to fas3: a houston, texas, case study","10.1061/(ASCE)HE.1943-5584.0000374"
"Flash flood forecasting within the preview project: value of high-resolution hydrometeorological coupled forecast","10.1007/S00703-008-0315-6"
"Regional flood risk - what are the driving processes?",NA
"Role of rainfall intensity and urban sprawl in the 2014 flash flood in genoa city, bisagno catchment (liguria, italy)","10.1016/J.APGEOG.2018.07.022"
"Linking trends in urban extreme rainfall to urban flooding in china","10.1002/JOC.5107"
"Integrated rainfall-runoff and flood inundation modeling for flash flood risk assessment under data scarcity in arid regions: wadi fatimah basin case study, saudi arabia","10.1007/S11069-016-2559-7"
"Recent human impacts and change in dynamics and morphology of ephemeral rivers","10.5194/NHESS-14-713-2014"
"A review of dendrogeomorphological research applied to flood risk analysis in spain","10.1016/J.GEOMORPH.2012.11.028"
"Rainfall space-time organization and orographic control on flash flood response: the weisseritz event of august 13, 2002","10.1061/(ASCE)HE.1943-5584.0000569"
"Runoff modeling of the wadi systems for estimating flash flood and groundwater recharge potential in southern sinai, egypt","10.1007/S12517-009-0090-9"
"Assessment of vulnerability to extreme flash floods in design storms","10.3390/IJERPH8072907"
"Modelling extreme precipitation in hazardous mountainous areas. Contribution to landscape planning and environmental management","10.3846/JEELM.2010.38"
"Interaction between a dam site and karst springs: the case of supramonte (central-east sardinia, italy)","10.1016/J.ENGGEO.2007.11.010"
"Sensitivity of extreme precipitation to temperature: the variability of scaling factors from a regional to local perspective","10.1007/S00382-017-3857-9"
"An index of brazil's vulnerability to expected increases in natural flash flooding and landslide disasters in the context of climate change","10.1007/S11069-016-2705-2"
"Drainage network extraction and morphometric analysis using remote sensing and gis mapping techniques (lesser zab river basin, iraq and iran)","10.1007/S12665-016-6038-Y"
"Geomorphological impacts of an extreme flood in se spain","10.1016/J.GEOMORPH.2016.03.021"
"A review of people's behavior in and around floodwater","10.1175/WCAS-D-14-00030.1"
"Assessing risks from climate variability and change for disaster-prone zones in bangladesh","10.1016/J.IJDRR.2014.08.008"
"A conceptual flash flood early warning system for africa, based on terrestrial microwave links and flash flood guidance","10.3390/IJGI3020584"
"Estimation of uncertainty sources in the projections of lithuanian river runoff","10.1007/S00477-012-0608-7"
"Modelling the benefits of flood emergency management measures in reducing damages: a case study on sondrio, italy","10.5194/NHESS-13-1913-2013"
"Combining criteria for delineating lahar- and flash-flood-prone hazard and risk zones for the city of arequipa, peru","10.5194/NHESS-13-339-2013"
"Use of radar rainfall estimates and forecasts to prevent flash flood in real time by using a road inundation warning system","10.1016/J.JHYDROL.2011.11.048"
"Mapping temporally-variable exposure to flooding in small mediterranean basins using land-use indicators","10.1016/J.APGEOG.2010.03.003"
"Thunderstorm nowcasting by means of lightning and radar data: algorithms and applications in northern italy","10.5194/NHESS-8-1187-2008"
"Large increase in global storm runoff extremes driven by climate and anthropogenic changes","10.1038/S41467-018-06765-2"
"A national scale flood hazard mapping methodology: the case of greece - protection and adaptation policy approaches","10.1016/J.SCITOTENV.2017.05.197"
"Lessons learned from khartoum flash flood impacts: an integrated assessment","10.1016/J.SCITOTENV.2017.05.260"
"Development of flood alert application in mushim stream watershed korea","10.1016/J.IJDRR.2016.11.008"
"Regional flood-frequency reconstruction for kullu district, western indian himalayas","10.1016/J.JHYDROL.2016.12.059"
"Numerical modelling of flood flows over irregular topography","10.1680/WAMA.2010.163.5.255"
"An empirical model of fatalities and injuries due to floods in japan","10.1111/J.1752-1688.2006.TB04500.X"
"The cases of june 2000, november 2002 and september 2002 as examples of mediterranean floods","10.5194/NHESS-6-271-2006"
"Impacts of surface mine valley fills on headwater floods in eastern kentucky","10.1007/S00254-003-0883-1"
"Integrated flood vulnerability assessment approach based on topsis and shannon entropy methods","10.1016/J.ECOLIND.2018.02.015"
"Geospatial risk assessment of flash floods in nuweiba area, egypt","10.1016/J.JARIDENV.2016.06.004"
"The development of a flash flood severity index","10.1016/J.JHYDROL.2016.04.005"
"Mortality patterns of hydro-geomorphologic disasters","10.1111/RISA.12516"
"Flood induced vulnerability in strategic plan making process of riyadh city","10.1016/J.HABITATINT.2015.05.034"
"Recovery and resettlement following the 2011 flash flooding in the lockyer valley","10.1016/J.IJDRR.2014.01.001"
"The extreme runoff index for flood early warning in europe","10.5194/NHESS-14-1505-2014"
"Assessment of the flash flood potential of ba cent sca river catchment (romania) based on physiographic factors","10.2478/S13533-012-0137-4"
"Vulnerability, hazards and multiple risk assessment for georgia","10.1007/S11069-012-0374-3"
"Linking the actors and policies throughout the disaster management cycle by `agreement on objectives' - a new output-oriented management approach","10.5194/NHESS-12-1085-2012"
"Causes for record high flood losses in the central united states","10.1080/02508060108686908"
"An integrated framework for high-resolution urban flood modelling considering multiple information sources and urban features","10.1016/J.ENVSOFT.2018.06.010"
"Evaluating the effects of low impact development practices on urban flooding under different rainfall intensities","10.3390/W9070548"
"Beyond `flood hotspots': modelling emergency service accessibility during flooding in york, uk","10.1016/J.JHYDROL.2016.12.013"
"Assimilation of h-saf soil moisture products for flash flood early warning systems. Case study: mediterranean catchments","10.1109/JSTARS.2016.2598475"
"Building vulnerability to hydro-geomorphic hazards: estimating damage probability from qualitative vulnerability assessment using logistic regression","10.1016/J.JHYDROL.2015.04.017"
"Reconstruction of glacial lake outburst floods in northern tien shan: implications for hazard assessment","10.1016/J.GEOMORPH.2016.06.028"
"An agricultural flash flood loss estimation methodology: the case study of the koiliaris basin (greece), february 2003 flood","10.1007/S11069-015-1882-8"
"Study of the comprehensive risk analysis of dam-break flooding based on the numerical simulation of flood routing. Part i: model development","10.1007/S11069-014-1154-Z"
"A method for identification of small carpathian catchments more prone to flash flood generation. Based on the example of south-eastern part of the polish carpathians",NA
"Selection of intense rainfall events based on intensity thresholds and lightning data in switzerland","10.5194/HESS-18-1561-2014"
"A probabilistic model to support reservoir operation decisions during flash floods","10.1623/HYSJ.52.3.523"
"Flood risk perception and adaptation capacity: a contribution to the socio-hydrology debate","10.5194/HESS-21-3183-2017"
"Assessment of 2010 flash flood causes and associated damages in dir valley, khyber pakhtunkhwa pakistan","10.1016/J.IJDRR.2016.02.009"
"Analysis on causes of flash flood in jeddah city (kingdom of saudi arabia) of 2009 and 2011 using multi-sensor remote sensing data and gis","10.1080/19475705.2015.1012750"
"Soil degradation and altered flood risk as a consequence of deforestation","10.1002/LDR.1147"
"Vehicle-related flood deaths in the united states, 1995-2005","10.1111/J.1753-318X.2012.01136.X"
"Rainfall thresholds for flood triggering. The case of marathonas in greece","10.1007/S11069-011-9904-7"
"Climatic background to past and future floods in australia","10.1016/S0065-2504(06)39002-2"
"Flood prediction using machine learning models: literature review","10.3390/W10111536"
"Flood inundation assessment for the hanoi central area, vietnam under historical and extreme rainfall conditions","10.1038/S41598-018-30024-5"
"Gender, age and circumstances analysis of flood and landslide fatalities in italy","10.1016/J.SCITOTENV.2017.08.064"
"Matrices, curves and indicators: a review of approaches to assess physical vulnerability to debris flows","10.1016/J.EARSCIREV.2017.06.007"
"Robust increase in extreme summer rainfall intensity during the past four decades observed in china","10.1038/SREP38506"
"Flood-prone area delimitation using uav technology, in the areas hard-to-reach for classic aircrafts: case study in the north-east of apuseni mountains, transylvania","10.1007/S11069-016-2266-4"
"Flood hazards in an urbanizing watershed in riyadh, saudi arabia","10.1080/19475705.2014.945101"
"Temporal trends in extreme rainfall intensity and erosivity in the mediterranean region: a case study in southern tuscany, italy","10.1007/S10584-014-1287-9"
"Spatial patterns and temporal trends of daily precipitation indices in iran","10.1007/S10584-014-1096-1"
"Evaluation of real-time flash flood forecasts for haiti during the passage of hurricane tomas, november 4-6, 2010","10.1007/S11069-013-0573-6"
"Microbial water quality risks to public health: potable water assessment for a flood-affected town in northern pakistan",NA
"The views of experts and residents on social vulnerability to flash floods in an alpine region of italy","10.1111/J.1467-7717.2011.01252.X"
"A geographical approach to post-flood analysis: the extreme flood event of 12 october 2007 in calpe (spain)","10.1016/J.APGEOG.2011.06.003"
"Damaging events along roads during bad weather periods: a case study in calabria (italy)","10.5194/NHESS-12-365-2012"
"The ischia island flash flood of november 2009 (italy): phenomenon analysis and flood hazard","10.1016/J.PCE.2011.12.004"
"Person-place-time analysis of vehicle fatalities caused by flash floods in texas","10.1080/19475705.2011.615343"
"Micro-landform classification and flood hazard assessment of the thu bon alluvial plain, central vietnam via an integrated method utilizing remotely sensed data","10.1016/J.APGEOG.2011.01.005"
"Rain-on-snow events, floods and climate change in the alps: events may increase with warming up to 4 degrees c and decrease thereafter","10.1016/J.SCITOTENV.2016.07.146"
"Challenges in paleoflood hydrology applied to risk analysis in mountainous watersheds - a review","10.1016/J.JHYDROL.2014.12.004"
"The fury of the floods in the north-west himalayan region: the kedarnath tragedy","10.1080/19475705.2013.827135"
"Flood hazards and masonry constructions: a probabilistic framework for damage, risk and resilience at urban scale","10.5194/NHESS-12-1799-2012"
"The storm morphology of deadly flooding events in the united states","10.1002/JOC.1554"
"Combination of different types of ensembles for the adaptive simulation of probabilistic flood forecasts: hindcasts for the mulde 2002 extreme event","10.5194/NPG-15-275-2008"
"Flood risk in unplanned settlements in lusaka","10.1177/0956247807082835"
"Application of gis-interval rough ahp methodology for flood hazard mapping in urban areas","10.3390/W9060360"
"Modelling modelling large floating bodies in urban area flash-floods via a smoothed particle hydrodynamics model","10.1016/J.JHYDROL.2016.02.009"
"Flash flood warnings using the ensemble precipitation forecasting technique: a case study on forecasting floods in taiwan caused by typhoons","10.1016/J.JHYDROL.2014.11.028"
"Geomorphological records of extreme floods and their relationship to decadal-scale climate change","10.1016/J.GEOMORPH.2014.04.003"
"Urban stream restoration in korea: design considerations and residents' willingness to pay","10.1016/J.UFUG.2011.02.001"
"An integrated simulation method for flash-flood risk assessment: 1. Frequency predictions in the bisagno river by combining stochastic and deterministic methods","10.5194/HESS-6-267-2002"
"Floods in mountain environments: a synthesis","10.1016/J.GEOMORPH.2016.07.008"
"Multi-vulnerability analysis for flash flood risk management","10.1007/S11069-016-2296-Y"
"Floods triggered by natural conditions and by human activities in a mediterranean coastal environment","10.1111/J.0435-3676.2003.00207.X"
"Trends in flash flood events versus convective precipitation in the mediterranean region: the case of catalonia","10.1016/J.JHYDROL.2016.05.040"
"Quantification of flash flood economic risk using ultra-detailed stage-damage functions and 2-d hydraulic models","10.1016/J.JHYDROL.2016.02.006"
"Risc-kit: resilience-increasing strategies for coasts - toolkit","10.2112/SI70-062.1"
"Gis and remote sensing as tools for conducting geo-hazards risk assessment along gulf of aqaba coastal zone, egypt","10.1007/S11852-010-0136-X"
"Interactions among flood predictions, decisions, and outcomes: synthesis of three cases","10.1061/(ASCE)NH.1527-6996.0000011"
"Space-time soil wetness variations monitoring by a multi-temporal microwave satellite records analysis","10.1016/J.PCE.2006.06.003"
"Changing properties of precipitation extremes in the urban areas, yangtze river delta, china, during 1957-2013","10.1007/S11069-015-1850-3"
"Integrated analysis of societal vulnerability in an extreme precipitation event: a fort collins case study","10.1016/J.ENVSCI.2012.07.005"
"Two dimensional model analysis of flash-flood processes: application to the boscastle event","10.1111/J.1753-318X.2009.01055.X"
"Developing an effective 2-d urban flood inundation model for city emergency management based on cellular automata","10.5194/NHESS-15-381-2015"
"An integrated simulation method for flash-flood risk assessment: 2. Effects of changes in land-use under a historical perspective","10.5194/HESS-6-285-2002"
"Flash flood hazard susceptibility mapping using frequency ratio and statistical index methods in coalmine subsidence areas","10.3390/SU8090948"
"The rwenzori mountains, a landslide-prone region?","10.1007/S10346-015-0582-5"
"A review of flood records from tree rings","10.1177/0309133315608758"
"Dynamic vulnerability factors for impact-based flash flood prediction","10.1007/S11069-015-1910-8"
"Flash floods in the tatra mountain streams: frequency and triggers","10.1016/J.SCITOTENV.2014.12.081"
"An inter-basin backwater overflow (the buhai brook and the ezer reservoir on the jijia river, romania)","10.1002/HYP.9851"
"Spatially distributed flood forecasting in flash flood prone areas: application to road network supervision in southern france","10.1016/J.JHYDROL.2013.01.044"
"Simulation of dam breach development for emergency treatment of the tangjiashan quake lake in china","10.1007/S11431-008-6019-9"
"Local protection against mountain hazards - state of the art and future needs","10.5194/NHESS-8-81-2008"
"Flash flood risks and warning decisions: a mental models study of forecasters, public officials, and media broadcasters in boulder, colorado","10.1111/RISA.12403"
"Extreme flood response to short-duration convective rainfall in south-west germany","10.5194/HESS-16-1543-2012"
"Nowcasting thunderstorms in the mediterranean region using lightning data","10.1016/J.ATMOSRES.2010.08.010"
"Rainfall threshold definition using an entropy decision approach and radar data","10.5194/NHESS-11-2061-2011"
"Mapping space for water: screening for urban flash flooding","10.1111/J.1753-318X.2008.00003.X"
"Characterising flash flood response to intense rainfall and impacts using historical information and gauged data in britain","10.1111/JFR3.12187"
"How do people perceive, understand, and anticipate responding to flash flood risks and warnings? Results from a public survey in boulder, colorado, usa","10.1016/J.JHYDROL.2015.11.047"
"Analysis of flood fatalities in texas","10.1061/(ASCE)NH.1527-6996.0000145"
"Overview of some geological hazards in the saudi arabia","10.1007/S12665-013-2373-4"
"Geographical analysis of damage due to flash floods in southern france: the cases of 12-13 november 1999 and 8-9 september 2002","10.1016/J.APGEOG.2008.02.007"
"A european precipitation index for extreme rain-storm and flash flood early warning","10.1002/MET.1328"
"The landslide hazard and human vulnerability in la paz city, bolivia","10.1111/J.1475-4959.2005.00163.X"
"Mapping flood susceptibility in mountainous areas on a national scale in china","10.1016/J.SCITOTENV.2017.10.037"
"Flood type specific construction of synthetic design hydrographs","10.1002/2016WR019535"
"Regional landslide risk to the cairns community","10.1023/A:1026122518661"
"Flash flood hazard mapping using satellite images and gis tools: a case study of najran city, kingdom of saudi arabia (ksa)","10.1016/J.EJRS.2015.06.007"
"A comparative analysis of the loss of life during two recent floods in france: the sea surge caused by the storm xynthia and the flash flood in var","10.1007/S11069-011-9975-5"
"Improvement of urban drainage system performance under climate change impact: case study","10.1061/(ASCE)HE.1943-5584.0000317"
"Assessing the influence of watershed characteristics on the flood vulnerability of jhelum basin in kashmir himalaya","10.1007/S11069-015-1605-1"
"Deluge, disaster and development in uttarakhand himalayan region of india: challenges and lessons for disaster management","10.1016/J.IJDRR.2014.03.002"
"Relationships between geo-hydrological processes induced by heavy rainfall and land-use: the case of 25 october 2011 in the vernazza catchment (cinque terre, nw italy)","10.1080/17445647.2013.780188"
"Multi-scale hydrometeorological observation and modelling for flash flood understanding","10.5194/HESS-18-3733-2014"
"Characterisation of flash floods in small ungauged mountain basins of central spain using an integrated approach","10.1016/J.CATENA.2013.06.015"
"Potential hazard analysis from the viewpoint of flow measurement in large open-channel junctions","10.1007/S11069-011-0067-3"
"Quantitative precipitation estimation in the casa x-band dual-polarization radar network","10.1175/2010JTECHA1419.1"
"Benefits of local structural protection to mitigate torrent-related hazards","10.2495/RISK080391"
"Supplementing flash flood reports with impact classifications","10.1016/J.JHYDROL.2012.09.036"
"The cevennes-vivarais mediterranean hydrometeorological observatory database","10.1029/2010WR010353"
"Storminess and geo-hydrological events affecting small coastal basins in a terraced mediterranean environment","10.1016/J.SCITOTENV.2015.06.017"
"Geohydrological hazards and urban development in the mediterranean area: an example from genoa (liguria, italy)","10.5194/NHESS-15-2631-2015"
"Improvement of resilience of urban areas by integrating social perception in flash-flood risk management","10.1016/J.JHYDROL.2016.02.005"
"Urban flood hazard assessment in the basin of athens metropolitan city, greece","10.1007/S12665-015-5157-1"
"Application of social vulnerability index (sovi) and delineation of natural risk zones in greater lisbon, portugal","10.1080/13669877.2014.910689"
"Evaluation of sedimentation vulnerability at small hillside reservoirs in the semi-arid region of tunisia using the self-organizing map","10.1016/J.GEOMORPH.2010.05.013"
"Assessment of the susceptibility of roads to flooding based on geographical information - test in a flash flood prone area (the gard region, france)","10.5194/NHESS-10-793-2010"
"Geomorphological and sedimentological analysis of flash-flood deposits the case of the 1997 rivillas flood (spain)","10.1016/J.GEOMORPH.2009.05.004"
"Historic records and gis applications for flood risk analysis in the salento peninsula (southern italy)","10.5194/NHESS-5-833-2005"
"Local models for rainstorm-induced hazard analysis on mediterranean river-torrential geomorphological systems","10.5194/NHESS-4-389-2004"
"Integrated flash flood vulnerability assessment: insights from east attica, greece","10.1016/J.JHYDROL.2016.02.052"
"Flash flood awareness in southwest virginia","10.1111/J.1539-6924.2006.00866.X"
"A reassessment of us lightning mortality","10.1175/2009BAMS2765.1"
"Numerical assessment of flood hazard risk to people and vehicles in flash floods","10.1016/J.ENVSOFT.2011.02.017"
"Evaluating the impact and risk of pluvial flash flood on intra-urban road network: a case study in the city center of shanghai, china","10.1016/J.JHYDROL.2016.03.037"
"An assessment of distributed flash flood forecasting accuracy using radar and rain gauge input for a physics-based distributed hydrologic model","10.1016/J.JHYDROL.2011.05.046"
"The cost 731 action: a review on uncertainty propagation in advanced hydro-meteorological forecast systems","10.1016/J.ATMOSRES.2010.11.016"
"Hazard index maps for woody material recruitment and transport in alpine catchments","10.5194/NHESS-9-197-2009"
"Flash flood warning in ungauged basins by use of the flash flood guidance and model-based runoff thresholds","10.1002/MET.126"
"Estimation of extreme flash flood evolution in barcelona county from 1351 to 2005","10.5194/NHESS-6-505-2006"
"Flood frequency analysis using radar rainfall fields and stochastic storm transposition","10.1002/2013WR014224"
"Estimating the frequency of extreme rainfall using weather radar and stochastic storm transposition","10.1016/J.JHYDROL.2013.03.003"
"Different landslide sampling strategies in a grid-based bi-variate statistical susceptibility model","10.1016/J.GEOMORPH.2015.10.030"
"Reconstructing flash flood magnitudes using `structure-from-motion': a rapid assessment tool","10.1016/J.JHYDROL.2014.09.078"
"Application of a model to the evaluation of flood damage","10.1007/S10707-008-0070-3"
"Morphometric analysis of colanguil river basin and flash flood hazard, san juan, argentina","10.1007/S00254-007-0969-2"
"Effectiveness of flood damage mitigation measures: empirical evidence from french flood disasters","10.1016/J.GLOENVCHA.2014.12.007"
"A space and time framework for analyzing human anticipation of flash floods","10.1016/J.JHYDROL.2012.11.009"
"Morphometrical analysis of two tropical mountain river basins of contrasting environmental settings, the southern western ghats, india","10.1007/S12665-011-1457-2"
"Glacial lake outburst flood risk assessment of sun koshi basin, nepal","10.1080/19475701003668968"
"Flood susceptibility assessment in hengfeng area coupling adaptive neuro-fuzzy inference system with genetic algorithm and differential evolution","10.1016/J.SCITOTENV.2017.10.114"
"Formulation of a fast 2d urban pluvial flood model using a cellular automata approach","10.2166/HYDRO.2012.245"
"Catchment dynamics and social response during flash floods: the potential of radar rainfall monitoring for warning procedures","10.1002/MET.128"
"Factors increasing vulnerability to health effects before, during and after floods","10.3390/IJERPH10127015"
"Flash flood evolution in north-western mediterranean","10.1016/J.ATMOSRES.2014.05.024"
"The benefit of high-resolution operational weather forecasts for flash flood warning","10.5194/HESS-12-1039-2008"
"Flash flood forecasting: what are the limits of predictability?","10.1002/QJ.29"
"Impact of climate change on extreme rainfall events and flood risk in india","10.1007/S12040-011-0082-5"
"Flash flood risk estimation along the st. Katherine road, southern sinai, egypt using gis based morphometry and satellite imagery","10.1007/S12665-010-0551-1"
"Flash flood forecasting, warning and risk management: the hydrate project","10.1016/J.ENVSCI.2011.05.017"
"Landslides in a changing climate","10.1016/J.EARSCIREV.2016.08.011"
"Assessment of flood hazard based on natural and anthropogenic factors using analytic hierarchy process (ahp)","10.1007/S11069-013-0639-5"
"Post-flood field investigations in upland catchments after major flash floods: proposal of a methodology and illustrations","10.1111/J.1753-318X.2008.00023.X"
"The missing link between flood risk awareness and preparedness: findings from case studies in an alpine region","10.1007/S11069-012-0161-1"
"Operational early warning systems for water-related hazards in europe","10.1016/J.ENVSCI.2012.01.008"
"Human exposure to flash floods - relation between flood parameters and human vulnerability during a storm of september 2002 in southern france","10.1016/J.JHYDROL.2008.07.044"
"Understanding uncertainty in distributed flash flood forecasting for semiarid regions","10.1029/2007WR005940"
"Quantitative precipitation forecasting in the uk","10.1016/S0022-1694(00)00354-1"
"Evidence of debris flow occurrence after wildfire in upland catchments of south-east australia","10.1016/J.GEOMORPH.2010.10.016"
"Predicting locations sensitive to flash flooding in an and environment","10.1016/J.JHYDROL.2003.12.045"
"Comparison of logistic regression and random forests techniques for shallow landslide susceptibility assessment in giampilieri (ne sicily, italy)","10.1016/J.GEOMORPH.2015.06.001"
"An epidemiologic study of posttraumatic stress disorder in flood victims in hunan china","10.1177/070674370605100603"
"A hydrological analysis of the 4 november 2011 event in genoa","10.5194/NHESS-12-2743-2012"
"Potential assessment of the support vector regression technique in rainfall forecasting","10.1007/S11269-006-9026-2"
"Urban flooding in lagos, nigeria: patterns of vulnerability and resilience among women","10.1016/J.GLOENVCHA.2013.08.009"
"Estimating flash flood discharge in an ungauged mountain catchment with 2d hydraulic models and dendrogeomorphic palaeostage indicators","10.1002/HYP.7888"
"Detecting changes in seasonal precipitation extremes using regional climate model projections: implications for managing fluvial flood risk","10.1029/2008WR007636"
"Assessing multifaceted vulnerability and resilience in order to design risk-mitigation strategies","10.1007/S11069-012-0134-4"
"Mental models of flash floods and landslides","10.1111/J.1539-6924.2007.00916.X"
"Analysis of flash flood parameters and human impacts in the us from 2006 to 2012","10.1016/J.JHYDROL.2014.07.004"
"Modelling flash flood propagation in urban areas using a two-dimensional numerical model","10.1007/S11069-008-9300-0"
"A compilation of data on european flash floods","10.1016/J.JHYDROL.2008.12.028"
"Flood risk and climate change: global and regional perspectives","10.1080/02626667.2013.857411"
"Global perspectives on loss of human life caused by floods","10.1007/S11069-004-8891-3"
"Characterisation of selected extreme flash floods in europe and implications for flood risk management","10.1016/J.JHYDROL.2010.07.017"
"Flood fatalities in the united states","10.1175/2007JAMC1611.1"
"Hydrogeomorphic response to extreme rainfall in headwater systems: flash floods and debris flows","10.1016/J.JHYDROL.2014.05.022"
"National strategy, law and institutional framework for disaster risk reduction in pakistan","10.1007/978-4-431-55369-4\_13"
"Disaster management and risk reduction: impacts of sea level rise and other hazards related to tsunamis on syrian coastal zone","10.1007/978-3-642-40695-9\_24"
"Notational systems/transforming infrastructures",NA
"Applying of crisis management measures to hydrology in romania",NA
"Towards river rehabilitation as an integrated approach to flood management in asian cities",NA
"Failure and life cycle evaluation of watering valves",NA
"Preliminary assessment of volcanic and hydrothermal hazards in yellowstone national park and vicinity",NA
"Case studies in peru, bolivia and chile on catchment management and mining impacts in arid and semi-arid south america - results from the caminar project",NA
"Prediction as a basis for planning and response","10.1080/02508060208686979"
"Flood disasters and insurance",NA
"Estimating life loss for dam safety and risk assessment: lessons from case histories",NA
"Lightning hazard region over the maritime continent observed from satellite and climate change threat","10.1088/1755-1315/56/1/012010"
"Contextual vulnerability of rainfed crop-based farming communities in semi-arid zimbabwe a case of chiredzi district","10.1108/IJCCSM-03-2017-0070"
"An information divergence based approach to detect flooding ddos attacks and flash crowds",NA
"Identification of artificially ripened fruits using smart phones",NA
"Chronological trends in maximum and minimum water flows of the teesta river, bangladesh, and its implications","10.4102/JAMBA.V9I1.373"
"Limit state sinkhole risk assessment",NA
"Effects of smart tunnel maintenance works on flood control and traffic flow","10.1166/ASL.2017.7172"
"Stratigraphy, palaeoenvironments and palaeoecology of the loch humphrey burn lagerstatte and other mississippian palaeobotanical localities of the kilpatrick hills, southwest scotland","10.7717/PEERJ.1700"
"Vulnerability, safety and response of nuclear power plants to the hydroclimatic hazards",NA
"Manet topology for disaster management using wireless sensor network",NA
